rarity_score
1.4656
1.5569
1.5685
1.483
1.6805
1.5767
1.5997
1.7391
1.6398
1.7161
1.8498
1.5528
1.4025
1.4081
1.7228
1.3686
1.7379
1.5977
1.6828
1.793
1.3852
1.5148
1.4828
1.5374
1.4662
1.6407
1.7064
1.4991
1.5767
1.405
1.5321
1.7491
1.8661
1.8355
1.7928
1.4408
1.531
1.5865
1.1097
1.7935
1.922
1.7323
1.5477
1.6274
1.4418
1.5821
1.6981
1.4112
1.119
1.5234
1.4115
1.5342
1.5163
1.7336
1.4154
1.4612
1.4251
1.7121
1.4215
1.6637
1.7431
1.4487
1.6031
1.5599
1.5707
1.687
1.5431
1.546
1.5989
1.4993
1.5867
1.6904
1.0192
1.5831
1.4117
1.6097
1.6955
1.6626
1.473
1.5245
1.5756
1.5244
1.4585
1.599
1.2528
1.5454
1.5045
1.4088
1.6281
1.7793
1.4823
1.7035
1.6291
1.5717
1.6486
1.4877
1.5385
1.6648
1.591
1.6152
1.7491
1.7096
1.3923
1.4726
1.5876
1.5104
1.4288
1.732
1.5556
1.4486
1.4492
1.5422
1.0591
1.476
1.6173
1.6057
1.6724
1.4898
1.5113
1.5082
1.529
1.6732
0.9367
1.6404
1.4586
1.7428
1.6395
1.7418
1.5247
1.7088
1.5235
1.5956
1.5384
1.3951
1.5777
1.6142
1.702
1.5807
1.7307
1.4993
1.436
1.5633
1.5724
1.6278
1.6754
1.6608
1.6993
1.4774
1.6484
1.779
1.5414
1.4375
1.4271
1.5702
1.6313
1.5696
1.5949
1.5354
1.1642
1.6595
1.4926
1.6068
1.6343
1.7234
1.6957
1.5343
1.5046
1.6364
1.0866
1.6842
1.0474
0.8082
1.5925
1.5741
1.7112
1.6352
1.6158
1.3996
1.1613
1.5209
1.6571
0.9839
1.7549
1.4616
0.8393
1.1133
1.4509
1.8187
1.4994
1.2416
0.6536
1.7529
1.612
1.7157
0.6459
1.5735
1.5072
1.6143
1.6006
1.8634
1.5879
1.6465
1.4874
1.681
1.6772
0.4836
1.6578
1.4356
1.8106
1.4883
1.5489
1.4178
1.7783
1.4104
1.6294
0.77
0.6653
1.6447
1.7583
1.7112
1.6993
1.529
1.8647
1.4588
1.8242
1.7258
1.5477
1.685
1.6885
1.5071
1.6334
1.7545
1.5188
0.4705
1.5047
1.6894
1.6495
1.5837
1.6354
1.5425
1.5189
1.53
1.7954
1.5905
1.6579
0.713
1.6337
1.7349
0.7337
1.8544
1.5278
1.569
1.4126
1.7208
1.3796
1.5774
1.7911
1.4754
1.572
1.6099
1.1467
1.6064
0.6214
1.7203
1.7804
1.7065
1.1432
1.1337
0.6337
1.7093
0.7248
1.1329
1.5944
1.1551
1.5468
1.6186
1.7151
1.6639
1.4672
1.5169
0.7175
1.4688
1.5552
1.8572
1.603
0.7328
1.6244
1.6884
1.2158
0.6911
0.6018
1.7897
1.6688
1.5026
1.5483
1.6382
1.5868
1.6505
1.7547
1.2285
1.4445
1.5557
1.6691
1.7369
1.4141
0.5978
1.2339
1.4435
1.5411
1.7013
1.5836
1.4983
1.4134
1.7409
1.6778
1.7528
1.545
0.599
1.6348
1.447
1.7371
1.6835
1.6462
1.4961
1.4713
1.7806
1.7925
0.7346
1.853
1.7029
0.5343
0.7662
1.6505
0.6837
0.8482
1.7219
1.5445
1.4408
1.131
1.6985
0.6375
1.8929
1.916
1.6502
1.8568
1.6661
1.5676
1.6206
1.5317
0.6623
1.0431
1.6876
1.7379
1.6561
1.6875
1.5358
1.6081
1.4697
1.581
1.4227
1.3603
1.6987
0.848
1.541
0.5635
1.1861
0.5701
1.5306
0.5663
1.5176
1.7454
0.7291
1.5843
1.6589
1.4703
1.633
1.7837
1.5529
1.3924
1.5972
1.781
1.6343
1.6165
1.2715
1.6101
1.5955
1.4163
1.8569
1.8238
1.4913
0.7245
1.6542
1.3472
1.1389
1.005
